MA_short,MA_long,Avg_Train_Sharpe,Pairs_Used
20,60,-0.0363462940447665,5
20,50,-0.05554435581607784,5
30,40,-0.06147405819708551,5
20,80,-0.06220934425104015,5
30,60,-0.06975817166130868,5
15,50,-0.07643973089514917,5
30,50,-0.09101980497469525,5
15,60,-0.10577517412478085,5
10,80,-0.13294828419555366,5
15,40,-0.13673004755212248,5
10,40,-0.14476518442537983,5
15,80,-0.15283575177374137,5
30,80,-0.1646026613952935,5
10,50,-0.181257033115779,5
10,60,-0.20796566621051368,5
20,40,-0.24020837177820092,5
